provstate,Percent,iyear
District of Columbia,19,2014
Florida,16.7,2014
Georgia,16.8,2014
Hawaii,10.8,2014
Idaho,12.4,2014
Illinois,13.7,2014
Indiana,14.6,2014
Iowa,10.3,2014
Kansas,12.1,2014
Kentucky,20,2014
Louisiana,23.1,2014
Maine,14.6,2014
Maryland,9.8,2014
Massachusetts,13.6,2014
Michigan,14.8,2014
Minnesota,8.3,2014
Mississippi,22.1,2014
Missouri,10.4,2014
Montana,12,2014
Nebraska,11.8,2014
Nevada,17,2014
New Hampshire,7.2,2014
New Jersey,11.3,2014
New Mexico,20,2014
New York,14,2014
North Carolina,17.1,2014
North Dakota,9.7,2014
Ohio,15.6,2014
Oklahoma,17.3,2014
Oregon,14.4,2014
Pennsylvania,12.5,2014
Rhode Island,11.3,2014
South Carolina,16.5,2014
South Dakota,12.8,2014
Tennessee,17.3,2014
Texas,16.4,2014
Utah,10.2,2014
Vermont,9.3,2014
Virginia,10.2,2014
Washington,12,2014
West Virginia,20.6,2014
Wisconsin,10.9,2014
Wyoming,9.7,2014
Alabama,18.5,2013
Alaska,9.7,2013
Arizona,17.8,2013
Arkansas,13.9,2013
California,15.1,2013
Colorado,10.7,2013
Connecticut,10.9,2013
Delaware,11.2,2013
District of Columbia,23.2,2013
Florida,14.8,2013
Georgia,18.5,2013
Hawaii,10.6,2013
Idaho,12.4,2013
Illinois,13.6,2013
Indiana,16.5,2013
Iowa,13.2,2013
Kansas,11.4,2013
Kentucky,22,2013
Louisiana,21.2,2013
Maine,11.4,2013
Maryland,10.5,2013
Massachusetts,12.1,2013
Michigan,12.7,2013
Minnesota,11,2013
Mississippi,19.1,2013
Missouri,17.5,2013
Montana,10.5,2013
Nebraska,10.5,2013
Nevada,14.5,2013
New Hampshire,5.5,2013
New Jersey,9.9,2013
New Mexico,25.8,2013
New York,17.3,2013
North Carolina,14.7,2013
North Dakota,13.2,2013
Ohio,14.9,2013
Oklahoma,21.2,2013
Oregon,14,2013
Pennsylvania,11.2,2013
Rhode Island,9.3,2013
South Carolina,19.3,2013
South Dakota,13.3,2013
Tennessee,15.5,2013
Texas,16.9,2013
Utah,12.2,2013
Vermont,6.8,2013
Virginia,9.8,2013
Washington,12.2,2013
West Virginia,19.8,2013
Wisconsin,13.5,2013
Wyoming,11.4,2013
Alabama,16.2,2012
Alaska,10,2012
Arizona,19,2012
Arkansas,20.1,2012
California,15.9,2012
Colorado,11.9,2012
Connecticut,10.3,2012
Delaware,13.5,2012
D.C.,18.4,2012
Florida,15.3,2012
Georgia,18.1,2012
Hawaii,13.8,2012
Idaho,14.4,2012
Illinois,12.6,2012
Indiana,15.2,2012
Iowa,10.3,2012
Kansas,14,2012
Kentucky,17.9,2012
Louisiana,21.1,2012
Maine,12.8,2012
Maryland,9.9,2012
Massachusetts,11.3,2012
Michigan,13.7,2012
Minnesota,10,2012
Mississippi,22,2012
Missouri,15.2,2012
Montana,13.4,2012
Nebraska,12.2,2012
Nevada,15.8,2012
New Hampshire,8.1,2012
New Jersey,9.3,2012
New Mexico,20.4,2012
New York,17.2,2012
North Carolina,17.2,2012
North Dakota,11.4,2012
Ohio,15.4,2012
Oklahoma,18,2012
Oregon,13.5,2012
Pennsylvania,13.9,2012
Rhode Island,13.6,2012
South Carolina,16.7,2012
South Dakota,12.8,2012
Tennessee,18.6,2012
Texas,17,2012
Utah,11,2012
Vermont,11.2,2012
Virginia,10.6,2012
Washington,11.6,2012
West Virginia,16.7,2012
Wisconsin,11.4,2012
Wyoming,9.6,2012
Alabama,15.4,2011
Alaska,11.7,2011
Arizona,17.2,2011
Arkansas,18.7,2011
California,16.9,2011
Colorado,13.2,2011
Connecticut,10.1,2011
Delaware,13.7,2011
D.C.,19.9,2011
Florida,14.9,2011
Georgia,18.4,2011
Hawaii,12.1,2011
Idaho,15.7,2011
Illinois,14.2,2011
Indiana,15.6,2011
Iowa,10.4,2011
Kansas,14.3,2011
Kentucky,16,2011
Louisiana,21.1,2011
Maine,13.4,2011
Maryland,9.3,2011
Massachusetts,10.6,2011
Michigan,15,2011
Minnesota,10,2011
Mississippi,17.4,2011
Missouri,15.4,2011
Montana,16.5,2011
Nebraska,10.2,2011
Nevada,15.5,2011
New Hampshire,7.6,2011
New Jersey,11.4,2011
New Mexico,22.2,2011
New York,16,2011
North Carolina,15.4,2011
North Dakota,9.9,2011
Ohio,15.1,2011
Oklahoma,13.9,2011
Oregon,14.4,2011
Pennsylvania,12.6,2011
Rhode Island,13.4,2011
South Carolina,19,2011
South Dakota,14.5,2011
Tennessee,16.3,2011
Texas,17.4,2011
Utah,11,2011
Vermont,11.6,2011
Virginia,11.4,2011
Washington,12.5,2011
West Virginia,17.5,2011
Wisconsin,13.1,2011
Wyoming,10.7,2011
Alabama,17.2,2010
Alaska,12.5,2010
Arizona,18.8,2010
Arkansas,15.3,2010
California,16.3,2010
Colorado,12.3,2010
Connecticut,8.6,2010
Delaware,12.2,2010
D.C.,19.5,2010
Florida,16,2010
Georgia,18.8,2010
Hawaii,12.4,2010
Idaho,13.8,2010
Illinois,14.1,2010
Indiana,16.3,2010
Iowa,10.3,2010
Kansas,14.5,2010
Kentucky,17.7,2010
Louisiana,21.5,2010
Maine,12.6,2010
Maryland,10.9,2010
Massachusetts,10.9,2010
Michigan,15.7,2010
Minnesota,10.8,2010
Mississippi,22.5,2010
Missouri,15,2010
Montana,14.5,2010
Nebraska,10.2,2010
Nevada,16.6,2010
New Hampshire,6.5,2010
New Jersey,11.1,2010
New Mexico,18.3,2010
New York,16,2010
North Carolina,17.4,2010
North Dakota,12.6,2010
Ohio,15.4,2010
Oklahoma,16.3,2010
Oregon,14.3,2010
Pennsylvania,12.2,2010
Rhode Island,14,2010
South Carolina,16.9,2010
South Dakota,13.6,2010
Tennessee,16.7,2010
Texas,18.4,2010
Utah,10,2010
Vermont,10.8,2010
Virginia,10.7,2010
Washington,11.6,2010
West Virginia,16.8,2010
Wisconsin,10.1,2010
Wyoming,9.6,2010
Alabama,16.6,2009
Alaska,11.7,2009
Arizona,21.2,2009
Arkansas,18.9,2009
California,15.3,2009
Colorado,12.3,2009
Connecticut,8.4,2009
Delaware,12.3,2009
D.C.,17.9,2009
Florida,14.6,2009
Georgia,18.4,2009
Hawaii,12.5,2009
Idaho,13.7,2009
Illinois,13.2,2009
Indiana,16.1,2009
Iowa,10.7,2009
Kansas,13.7,2009
Kentucky,17,2009
Louisiana,14.3,2009
Maine,11.4,2009
Maryland,9.6,2009
Massachusetts,10.8,2009
Michigan,14,2009
Minnesota,11.1,2009
Mississippi,23.1,2009
Missouri,15.5,2009
Montana,13.5,2009
Nebraska,9.9,2009
Nevada,13,2009
New Hampshire,7.8,2009
New Jersey,9.3,2009
New Mexico,19.3,2009
New York,15.8,2009
North Carolina,16.9,2009
North Dakota,10.9,2009
Ohio,13.3,2009
Oklahoma,12.9,2009
Oregon,13.4,2009
Pennsylvania,11.1,2009
Rhode Island,13,2009
South Carolina,13.7,2009
South Dakota,14.1,2009
Tennessee,16.5,2009
Texas,17.3,2009
Utah,9.7,2009
Vermont,9.4,2009
Virginia,10.7,2009
Washington,11.7,2009
West Virginia,15.8,2009
Wisconsin,10.8,2009
Wyoming,9.2,2009
Alabama,14.3,2008
Alaska,8.2,2008
Arizona,18,2008
Arkansas,15.3,2008
California,14.6,2008
Colorado,11,2008
Connecticut,8.1,2008
Delaware,9.6,2008
D.C.,16.5,2008
Florida,13.1,2008
Georgia,15.5,2008
Hawaii,9.9,2008
Idaho,12.2,2008
Illinois,12.3,2008
Indiana,14.3,2008
Iowa,9.5,2008
Kansas,12.7,2008
Kentucky,17.1,2008
Louisiana,18.2,2008
Maine,12,2008
Maryland,8.7,2008
Massachusetts,11.3,2008
Michigan,13,2008
Minnesota,9.9,2008
Mississippi,18.1,2008
Missouri,13.3,2008
Montana,12.9,2008
Nebraska,10.6,2008
Nevada,10.8,2008
New Hampshire,7,2008
New Jersey,9.2,2008
New Mexico,19.3,2008
New York,14.2,2008
North Carolina,13.9,2008
North Dakota,11.8,2008
Ohio,13.7,2008
Oklahoma,13.6,2008
Oregon,10.6,2008
Pennsylvania,11,2008
Rhode Island,12.7,2008
South Carolina,14,2008
South Dakota,13.1,2008
Tennessee,15,2008
Texas,15.9,2008
Utah,7.6,2008
Vermont,9,2008
Virginia,10.3,2008
Washington,10.4,2008
West Virginia,14.5,2008
Wisconsin,9.8,2008
Wyoming,10.1,2008
Alabama,14.5,2007
Alaska,7.6,2007
Arizona,14.3,2007
Arkansas,13.8,2007
California,12.7,2007
Colorado,9.8,2007
Connecticut,8.9,2007
Delaware,9.3,2007
D.C.,18,2007
Florida,12.5,2007
Georgia,13.6,2007
Hawaii,7.5,2007
Idaho,9.9,2007
Illinois,10,2007
Indiana,11.8,2007
Iowa,8.9,2007
Kansas,11.7,2007
Kentucky,15.5,2007
Louisiana,16.1,2007
Maine,10.9,2007
Maryland,8.8,2007
Massachusetts,11.2,2007
Michigan,10.8,2007
Minnesota,9.3,2007
Mississippi,22.6,2007
Missouri,12.8,2007
Montana,13,2007
Nebraska,9.9,2007
Nevada,9.7,2007
New Hampshire,5.8,2007
New Jersey,8.7,2007
New Mexico,14,2007
New York,14.5,2007
North Carolina,15.5,2007
North Dakota,9.3,2007
Ohio,12.8,2007
Oklahoma,13.4,2007
Oregon,12.8,2007
Pennsylvania,10.4,2007
Rhode Island,9.5,2007
South Carolina,14.1,2007
South Dakota,9.4,2007
Tennessee,14.8,2007
Texas,16.5,2007
Utah,9.6,2007
Vermont,9.9,2007
Virginia,8.6,2007
Washington,10.2,2007
West Virginia,14.8,2007
Wisconsin,11,2007
Wyoming,10.9,2007
Alabama,14.3,2006
Alaska,8.9,2006
Arizona,14.4,2006
Arkansas,17.7,2006
California,12.2,2006
Colorado,9.7,2006
Connecticut,8,2006
Delaware,9.3,2006
D.C.,18.3,2006
Florida,11.5,2006
Georgia,12.6,2006
Hawaii,9.2,2006
Idaho,9.5,2006
Illinois,10.6,2006
Indiana,10.6,2006
Iowa,10.3,2006
Kansas,12.8,2006
Kentucky,16.8,2006
Louisiana,17,2006
Maine,10.2,2006
Maryland,8.4,2006
Massachusetts,12,2006
Michigan,13.3,2006
Minnesota,8.2,2006
Mississippi,20.6,2006
Missouri,11.4,2006
Montana,13.5,2006
Nebraska,10.2,2006
Nevada,9.5,2006
New Hampshire,5.4,2006
New Jersey,8.8,2006
New Mexico,16.9,2006
New York,14,2006
North Carolina,13.8,2006
North Dakota,11.4,2006
Ohio,12.1,2006
Oklahoma,15.2,2006
Oregon,11.8,2006
Pennsylvania,11.3,2006
Rhode Island,10.5,2006
South Carolina,11.2,2006
South Dakota,10.7,2006
Tennessee,14.9,2006
Texas,16.4,2006
Utah,9.3,2006
Vermont,7.8,2006
Virginia,8.6,2006
Washington,8,2006
West Virginia,15.3,2006
Wisconsin,10.1,2006
Wyoming,10,2006
Alabama,16.7,2005
Alaska,10,2005
Arizona,15.2,2005
Arkansas,13.8,2005
California,13.2,2005
Colorado,11.4,2005
Connecticut,9.3,2005
Delaware,9.2,2005
D.C.,21.3,2005
Florida,11.1,2005
Georgia,14.4,2005
Hawaii,8.6,2005
Idaho,9.9,2005
Illinois,11.5,2005
Indiana,12.6,2005
Iowa,11.3,2005
Kansas,12.5,2005
Kentucky,14.8,2005
Louisiana,18.3,2005
Maine,12.6,2005
Maryland,9.7,2005
Massachusetts,10.1,2005
Michigan,12,2005
Minnesota,8.1,2005
Mississippi,20.1,2005
Missouri,11.6,2005
Montana,13.8,2005
Nebraska,9.5,2005
Nevada,10.6,2005
New Hampshire,5.6,2005
New Jersey,6.8,2005
New Mexico,17.9,2005
New York,14.5,2005
North Carolina,13.1,2005
North Dakota,11.2,2005
Ohio,12.3,2005
Oklahoma,15.6,2005
Oregon,12,2005
Pennsylvania,11.2,2005
Rhode Island,12.1,2005
South Carolina,15,2005
South Dakota,11.8,2005
Tennessee,14.9,2005
Texas,16.2,2005
Utah,9.2,2005
Vermont,7.6,2005
Virginia,9.2,2005
Washington,10.2,2005
West Virginia,15.4,2005
Wisconsin,10.2,2005
Wyoming,10.6,2005
Alabama,16.9,2004
Alaska,9.1,2004
Arizona,14.4,2004
Arkansas,15.1,2004
California,13.2,2004
Colorado,10,2004
Connecticut,10.1,2004
Delaware,9,2004
D.C.,17,2004
Florida,11.6,2004
Georgia,13,2004
Hawaii,8.6,2004
Idaho,9.9,2004
Illinois,12.3,2004
Indiana,11.6,2004
Iowa,10.9,2004
Kansas,11.4,2004
Kentucky,17.8,2004
Louisiana,16.8,2004
Maine,11.6,2004
Maryland,9.9,2004
Massachusetts,9.3,2004
Michigan,13.3,2004
Minnesota,7,2004
Mississippi,18.7,2004
Missouri,12.2,2004
Montana,14.2,2004
Nebraska,9.5,2004
Nevada,10.9,2004
New Hampshire,5.5,2004
New Jersey,8,2004
New Mexico,16.5,2004
New York,15,2004
North Carolina,14.6,2004
North Dakota,9.7,2004
Ohio,11.6,2004
Oklahoma,10.8,2004
Oregon,11.8,2004
Pennsylvania,11.4,2004
Rhode Island,11.5,2004
South Carolina,14.9,2004
South Dakota,13.5,2004
Tennessee,15.9,2004
Texas,16.5,2004
Utah,10.1,2004
Vermont,7.8,2004
Virginia,9.4,2004
Washington,11.4,2004
West Virginia,14.2,2004
Wisconsin,12.4,2004
Wyoming,10,2004
Alabama,15,2003
Alaska,9.6,2003
Arizona,13.5,2003
Arkansas,17.8,2003
California,13.1,2003
Colorado,9.7,2003
Connecticut,8.1,2003
Delaware,7.3,2003
D.C.,16.8,2003
Florida,12.7,2003
Georgia,11.9,2003
Hawaii,9.3,2003
Idaho,10.2,2003
Illinois,12.6,2003
Indiana,9.9,2003
Iowa,8.9,2003
Kansas,10.8,2003
Kentucky,14.4,2003
Louisiana,17,2003
Maine,11.6,2003
Maryland,8.6,2003
Massachusetts,10.3,2003
Michigan,11.4,2003
Minnesota,7.4,2003
Mississippi,16,2003
Missouri,10.7,2003
Montana,15.1,2003
Nebraska,9.8,2003
Nevada,10.9,2003
New Hampshire,5.8,2003
New Jersey,8.6,2003
New Mexico,18.1,2003
New York,14.3,2003
North Carolina,15.7,2003
North Dakota,9.7,2003
Ohio,10.9,2003
Oklahoma,12.8,2003
Oregon,12.5,2003
Pennsylvania,10.5,2003
Rhode Island,11.5,2003
South Carolina,12.7,2003
South Dakota,12.7,2003
Tennessee,14,2003
Texas,17,2003
Utah,9.1,2003
Vermont,8.5,2003
Virginia,10,2003
Washington,12.6,2003
West Virginia,17.4,2003
Wisconsin,9.8,2003
Wyoming,9.8,2003
Alabama,14.5,2002
Alaska,8.8,2002
Arizona,13.5,2002
Arkansas,19.8,2002
California,13.1,2002
Colorado,9.8,2002
Connecticut,8.3,2002
Delaware,9.1,2002
D.C.,17,2002
Florida,12.6,2002
Georgia,11.2,2002
Hawaii,11.3,2002
Idaho,11.3,2002
Illinois,12.8,2002
Indiana,9.1,2002
Iowa,9.2,2002
Kansas,10.1,2002
Kentucky,14.2,2002
Louisiana,17.5,2002
Maine,13.4,2002
Maryland,7.4,2002
Massachusetts,10,2002
Michigan,11.6,2002
Minnesota,6.5,2002
Mississippi,18.4,2002
Missouri,9.9,2002
Montana,13.5,2002
Nebraska,10.6,2002
Nevada,8.9,2002
New Hampshire,5.8,2002
New Jersey,7.9,2002
New Mexico,17.9,2002
New York,14,2002
North Carolina,14.3,2002
North Dakota,11.6,2002
Ohio,9.8,2002
Oklahoma,14.1,2002
Oregon,10.9,2002
Pennsylvania,9.5,2002
Rhode Island,11,2002
South Carolina,14.3,2002
South Dakota,11.5,2002
Tennessee,14.8,2002
Texas,15.6,2002
Utah,9.9,2002
Vermont,9.9,2002
Virginia,9.9,2002
Washington,11,2002
West Virginia,16.8,2002
Wisconsin,8.6,2002
Wyoming,9,2002
Alabama,15.9,2001
Alaska,8.5,2001
Arizona,14.6,2001
Arkansas,17.8,2001
California,12.6,2001
Colorado,8.7,2001
Connecticut,7.3,2001
Delaware,6.7,2001
D.C.,18.2,2001
Florida,12.7,2001
Georgia,12.9,2001
Hawaii,11.4,2001
Idaho,11.5,2001
Illinois,10.1,2001
Indiana,8.5,2001
Iowa,7.4,2001
Kansas,10.1,2001
Kentucky,12.6,2001
Louisiana,16.2,2001
Maine,10.3,2001
Maryland,7.2,2001
Massachusetts,8.9,2001
Michigan,9.4,2001
Minnesota,7.4,2001
Mississippi,19.3,2001
Missouri,9.7,2001
Montana,13.3,2001
Nebraska,9.4,2001
Nevada,7.1,2001
New Hampshire,6.5,2001
New Jersey,8.1,2001
New Mexico,18,2001
New York,14.2,2001
North Carolina,12.5,2001
North Dakota,13.8,2001
Ohio,10.5,2001
Oklahoma,15.1,2001
Oregon,11.8,2001
Pennsylvania,9.6,2001
Rhode Island,9.6,2001
South Carolina,15.1,2001
South Dakota,8.4,2001
Tennessee,14.1,2001
Texas,14.9,2001
Utah,10.5,2001
Vermont,9.7,2001
Virginia,8,2001
Washington,10.7,2001
West Virginia,16.4,2001
Wisconsin,7.9,2001
Wyoming,8.7,2001
Alabama,13.3,2000
Alaska,7.6,2000
Arizona,11.7,2000
Arkansas,16.5,2000
California,12.7,2000
Colorado,9.8,2000
Connecticut,7.7,2000
Delaware,8.4,2000
D.C.,15.2,2000
Florida,11,2000
Georgia,12.1,2000
Hawaii,8.9,2000
Idaho,12.5,2000
Illinois,10.7,2000
Indiana,8.5,2000
Iowa,8.3,2000
Kansas,8,2000
Kentucky,12.6,2000
Louisiana,17.2,2000
Maine,10.1,2000
Maryland,7.4,2000
Massachusetts,9.8,2000
Michigan,9.9,2000
Minnesota,5.7,2000
Mississippi,14.9,2000
Missouri,9.2,2000
Montana,14.1,2000
Nebraska,8.6,2000
Nevada,8.8,2000
New Hampshire,4.5,2000
New Jersey,7.3,2000
New Mexico,17.5,2000
New York,13.9,2000
North Carolina,12.5,2000
North Dakota,10.4,2000
Ohio,10,2000
Oklahoma,14.9,2000
Oregon,10.9,2000
Pennsylvania,8.6,2000
Rhode Island,10.2,2000
South Carolina,11.1,2000
South Dakota,10.7,2000
Tennessee,13.5,2000
Texas,15.5,2000
Utah,7.6,2000
Vermont,10,2000
Virginia,8.3,2000
Washington,10.8,2000
West Virginia,14.7,2000
Wisconsin,9.3,2000
Wyoming,10.8,2000
Alabama,15.2,1999
Alaska,7.6,1999
Arizona,12.2,1999
Arkansas,14.7,1999
California,14,1999
Colorado,8.5,1999
Connecticut,7.2,1999
Delaware,10.4,1999
D.C.,14.7,1999
Florida,12.4,1999
Georgia,12.8,1999
Hawaii,10.8,1999
Idaho,14.1,1999
Illinois,9.9,1999
Indiana,6.7,1999
Iowa,7.4,1999
Kansas,12.3,1999
Kentucky,12.1,1999
Louisiana,19.2,1999
Maine,10.6,1999
Maryland,7.3,1999
Massachusetts,11.8,1999
Michigan,9.7,1999
Minnesota,7.3,1999
Mississippi,16.2,1999
Missouri,11.7,1999
Montana,15.8,1999
Nebraska,11,1999
Nevada,11.3,1999
New Hampshire,7.6,1999
New Jersey,7.8,1999
New Mexico,20.9,1999
New York,14.2,1999
North Carolina,13.8,1999
North Dakota,13.1,1999
Ohio,12,1999
Oklahoma,12.8,1999
Oregon,12.6,1999
Pennsylvania,9.3,1999
Rhode Island,10,1999
South Carolina,11.7,1999
South Dakota,7.7,1999
Tennessee,11.9,1999
Texas,15.2,1999
Utah,5.7,1999
Vermont,9.6,1999
Virginia,7.9,1999
Washington,9.6,1999
West Virginia,15.7,1999
Wisconsin,8.6,1999
Wyoming,11.6,1999
Alabama,14.5,1998
Alaska,9.4,1998
Arizona,16.6,1998
Arkansas,14.7,1998
California,15.4,1998
Colorado,9.2,1998
Connecticut,9.5,1998
Delaware,10.3,1998
D.C.,22.3,1998
Florida,13.1,1998
Georgia,13.5,1998
Hawaii,10.9,1998
Idaho,13,1998
Illinois,10.1,1998
Indiana,9.4,1998
Iowa,9.1,1998
Kansas,9.6,1998
Kentucky,13.5,1998
Louisiana,19.1,1998
Maine,10.4,1998
Maryland,7.2,1998
Massachusetts,8.7,1998
Michigan,11,1998
Minnesota,10.3,1998
Mississippi,17.6,1998
Missouri,9.8,1998
Montana,16.6,1998
Nebraska,12.3,1998
Nevada,10.6,1998
New Hampshire,9.8,1998
New Jersey,8.6,1998
New Mexico,20.4,1998
New York,16.7,1998
North Carolina,14,1998
North Dakota,15.1,1998
Ohio,11.2,1998
Oklahoma,14.1,1998
Oregon,15,1998
Pennsylvania,11.3,1998
Rhode Island,11.6,1998
South Carolina,13.7,1998
South Dakota,10.8,1998
Tennessee,13.4,1998
Texas,15.1,1998
Utah,9,1998
Vermont,9.9,1998
Virginia,8.8,1998
Washington,8.9,1998
West Virginia,17.8,1998
Wisconsin,8.8,1998
Wyoming,10.6,1998
Alabama,15.7,1997
Alaska,8.8,1997
Arizona,17.2,1997
Arkansas,19.7,1997
California,16.6,1997
Colorado,8.2,1997
Connecticut,8.6,1997
Delaware,9.6,1997
D.C.,21.8,1997
Florida,14.3,1997
Georgia,14.5,1997
Hawaii,13.9,1997
Idaho,14.7,1997
Illinois,11.2,1997
Indiana,8.8,1997
Iowa,9.6,1997
Kansas,9.7,1997
Kentucky,15.9,1997
Louisiana,16.3,1997
Maine,10.1,1997
Maryland,8.4,1997
Massachusetts,12.2,1997
Michigan,10.3,1997
Minnesota,9.6,1997
Mississippi,16.7,1997
Missouri,11.8,1997
Montana,15.6,1997
Nebraska,9.8,1997
Nevada,11,1997
New Hampshire,9.1,1997
New Jersey,9.3,1997
New Mexico,21.2,1997
New York,16.5,1997
North Carolina,11.4,1997
North Dakota,13.6,1997
Ohio,11,1997
Oklahoma,13.7,1997
Oregon,11.6,1997
Pennsylvania,11.2,1997
Rhode Island,12.7,1997
South Carolina,13.1,1997
South Dakota,16.5,1997
Tennessee,14.3,1997
Texas,16.7,1997
Utah,8.9,1997
Vermont,9.3,1997
Virginia,12.7,1997
Washington,9.2,1997
West Virginia,16.4,1997
Wisconsin,8.2,1997
Wyoming,13.5,1997
Alabama,14,1996
Alaska,8.2,1996
Arizona,20.5,1996
Arkansas,17.2,1996
California,16.9,1996
Colorado,10.6,1996
Connecticut,11.7,1996
Delaware,8.6,1996
D.C.,24.1,1996
Florida,14.2,1996
Georgia,14.8,1996
Hawaii,12.1,1996
Idaho,11.9,1996
Illinois,12.1,1996
Indiana,7.5,1996
Iowa,9.6,1996
Kansas,11.2,1996
Kentucky,17,1996
Louisiana,20.5,1996
Maine,11.2,1996
Maryland,10.3,1996
Massachusetts,10.1,1996
Michigan,11.2,1996
Minnesota,9.8,1996
Mississippi,20.6,1996
Missouri,9.5,1996
Montana,17,1996
Nebraska,10.2,1996
Nevada,8.1,1996
New Hampshire,6.4,1996
New Jersey,9.2,1996
New Mexico,25.5,1996
New York,16.7,1996
North Carolina,12.2,1996
North Dakota,11,1996
Ohio,12.7,1996
Oklahoma,16.6,1996
Oregon,11.8,1996
Pennsylvania,11.6,1996
Rhode Island,11,1996
South Carolina,13,1996
South Dakota,11.8,1996
Tennessee,15.9,1996
Texas,16.6,1996
Utah,7.7,1996
Vermont,12.6,1996
Virginia,12.3,1996
Washington,11.9,1996
West Virginia,18.5,1996
Wisconsin,8.8,1996
Wyoming,11.9,1996
Alabama,20.1,1995
Alaska,7.1,1995
Arizona,16.1,1995
Arkansas,14.9,1995
California,16.7,1995
Colorado,8.8,1995
Connecticut,9.7,1995
Delaware,10.3,1995
D.C.,22.2,1995
Florida,16.2,1995
Georgia,12.1,1995
Hawaii,10.3,1995
Idaho,14.5,1995
Illinois,12.4,1995
Indiana,9.6,1995
Iowa,12.2,1995
Kansas,10.8,1995
Kentucky,14.7,1995
Louisiana,19.7,1995
Maine,11.2,1995
Maryland,10.1,1995
Massachusetts,11,1995
Michigan,12.2,1995
Minnesota,9.2,1995
Mississippi,23.5,1995
Missouri,9.4,1995
Montana,15.3,1995
Nebraska,9.6,1995
Nevada,11.1,1995
New Hampshire,5.3,1995
New Jersey,7.8,1995
New Mexico,25.3,1995
New York,16.5,1995
North Carolina,12.6,1995
North Dakota,12,1995
Ohio,11.5,1995
Oklahoma,17.1,1995
Oregon,11.2,1995
Pennsylvania,12.2,1995
Rhode Island,10.6,1995
South Carolina,19.9,1995
South Dakota,14.5,1995
Tennessee,15.5,1995
Texas,17.4,1995
Utah,8.4,1995
Vermont,10.3,1995
Virginia,10.2,1995
Washington,12.5,1995
West Virginia,16.7,1995
Wisconsin,8.5,1995
Wyoming,12.2,1995
Alabama,16.4,1994
Alaska,10.2,1994
Arizona,15.9,1994
Arkansas,15.3,1994
California,17.9,1994
Colorado,9,1994
Connecticut,10.8,1994
Delaware,8.3,1994
D.C.,21.2,1994
Florida,14.9,1994
Georgia,14,1994
Hawaii,8.7,1994
Idaho,12,1994
Illinois,12.4,1994
Indiana,13.7,1994
Iowa,10.7,1994
Kansas,14.9,1994
Kentucky,18.5,1994
Louisiana,25.7,1994
Maine,9.4,1994
Maryland,10.7,1994
Massachusetts,9.7,1994
Michigan,14.1,1994
Minnesota,11.7,1994
Mississippi,19.9,1994
